x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
16.5,17.2,2.977025025025025,-1.5920000000000007,1.3850250250250242,353907.6303614084
17.2,17.9,2.454134134134134,-1.256000000000001,1.198134134134133,213131.38590275918
17.9,18.7,4.111471471471471,-1.9440000000000004,2.1674714714714702,496949.30568683625
18.7,19.5,3.912152152152151,-1.6080000000000005,2.3041521521521506,385074.5845635764
19.5,20.4,3.033913913913913,-1.7360000000000004,1.2979139139139126,297977.63137912843
20.4,21.2,2.98002002002002,-1.8640000000000008,1.1160200200200192,180161.7229142734
21.2,22,4.827163163163163,-2.488000000000001,2.3391631631631618,497622.2306388346
22,22.8,4.019891891891892,-2.2960000000000007,1.7238918918918915,285027.72019330173
