x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
16.5,17.2,3.1234434434434437,-1.6720000000000008,1.451443443443443,371827.61465938407
17.2,17.9,2.6639759759759767,-1.336000000000001,1.3279759759759757,239086.69698612415
17.9,18.7,4.83344144144144,-2.0240000000000005,2.80944144144144,625306.9095938057
18.7,19.5,4.854262262262261,-2.4240000000000004,2.4302622622622607,546981.8441783531
19.5,20.4,3.454622622622622,-1.9440000000000004,1.5106226226226216,361572.10540304624
20.4,21.2,3.123443443443443,-1.9280000000000006,1.1954434434434422,194307.54670322064
21.2,22,5.013941941941941,-2.7280000000000006,2.2859419419419407,524865.8056966744
22,22.8,4.507483483483484,-2.4560000000000004,2.0514834834834836,348255.40824732376
