x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
18,19,4.9710190190190175,-2.3760000000000003,2.595019019019017,997626.0467995058
19,19.7,3.8922762762762755,-2.0240000000000005,1.868276276276275,355451.74795432255
19.7,20.4,4.379611611611612,-2.1040000000000005,2.275611611611611,370442.4505533066
20.4,21.2,4.111471471471472,-2.2320000000000007,1.8794714714714718,480640.64636047685
21.2,22,5.098890890890891,-2.5200000000000005,2.5788908908908903,908412.3097610375
22,22.7,5.120576576576576,-2.5680000000000005,2.552576576576575,1190935.2130101759
22.7,23.5,2.4308468468468463,-1.1280000000000006,1.3028468468468457,277095.299072053
