x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
16.5,17.2,3.0369569569569563,-1.6240000000000006,1.4129569569569558,360031.852342922
17.2,17.9,2.5338138138138135,-1.2880000000000007,1.2458138138138128,222814.6477625657
17.9,18.7,4.27083083083083,-1.9760000000000006,2.294830830830829,525578.0902004151
18.7,19.5,4.69929129129129,-2.3440000000000003,2.35529129129129,519850.85116471397
19.5,20.4,3.193593593593593,-1.8320000000000005,1.3615935935935923,321571.310931181
20.4,21.2,3.021741741741742,-1.8800000000000008,1.141741741741741,183186.28040192687
21.2,22,4.881297297297296,-2.5680000000000005,2.3132972972972956,506896.61937516386
22,22.8,4.195363363363362,-2.3760000000000003,1.8193633633633617,306682.2456584743
