x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
18,19,5.029909909909908,-2.4240000000000004,2.605909909909908,1014018.495467098
19,19.7,3.916076076076076,-2.0240000000000005,1.8920760760760755,357276.50479251996
19.7,20.4,4.391191191191191,-2.1040000000000005,2.2871911911911904,372003.06482883065
20.4,21.2,4.123867867867868,-2.2000000000000006,1.9238678678678673,484257.64758201095
21.2,22,5.098890890890891,-2.5200000000000005,2.5788908908908903,908412.3097610375
22,22.7,5.146842842842842,-2.5840000000000005,2.5628428428428416,1193845.4537117477
22.7,23.5,2.4675875875875883,-1.1440000000000008,1.3235875875875875,283179.6589147831
