x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
18,19,5.13652852852853,-2.488000000000001,2.6485285285285287,1043535.2108985339
19,19.7,3.991991991991992,-2.056000000000001,1.9359919919919912,366496.4738470356
19.7,20.4,4.418690690690689,-2.1200000000000006,2.2986906906906888,374869.8975810915
20.4,21.2,4.1676396396396385,-2.1840000000000006,1.9836396396396379,492176.04955308203
21.2,22,5.104624624624623,-2.5200000000000005,2.584624624624623,911208.0394818331
22,22.7,5.173621621621621,-2.6000000000000005,2.57362162162162,1199330.4976464224
22.7,23.5,2.5497497497497488,-1.1920000000000006,1.3577497497497482,293096.6801077663
