x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
16.5,17.2,2.597557557557558,-1.2080000000000006,1.3895575575575574,3.078776307176546e-09
17.2,17.9,1.7547147147147144,-0.9040000000000006,0.8507147147147138,2.6681655276336725e-09
18.7,19.5,1.3318918918918914,-0.8560000000000009,0.4758918918918905,4.574369669352717e-09
19.5,20.4,2.637357357357357,-1.2400000000000004,1.3973573573573568,1.6138066377914542e-08
20.4,21.2,2.82633033033033,-2.0080000000000005,0.8183303303303298,1.1204160762435843e-08
21.2,22,2.8713513513513504,-1.7360000000000004,1.13535135135135,1.871084503541462e-08
