x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
16.5,17.2,2.440648648648648,-1.0800000000000007,1.3606486486486473,2.83346795953e-09
17.2,17.9,1.622198198198198,-0.8080000000000006,0.8141981981981975,2.388255537710653e-09
18.7,19.5,1.1757037037037035,-0.7600000000000008,0.4157037037037027,3.805625705871204e-09
19.5,20.4,2.454134134134134,-1.1120000000000005,1.3421341341341333,1.4721893735859519e-08
20.4,21.2,2.061933933933934,-1.2720000000000007,0.7899339339339333,7.83510705423309e-09
21.2,22,2.7784264264264262,-1.7040000000000006,1.0744264264264256,1.793899871902965e-08
