x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
18,19,3.6174574574574563,-1.9280000000000006,1.6894574574574557,1.690032690050058e-08
19,19.7,2.1173493493493494,-1.1760000000000008,0.9413493493493486,7.013825544940199e-09
19.7,20.4,1.9620900900900902,-1.032000000000001,0.9300900900900892,6.284208319225548e-09
21.2,22,3.9640280280280282,-2.0240000000000005,1.9400280280280278,2.2078411610479627e-08
22,22.7,3.61238038038038,-1.7360000000000004,1.8763803803803796,2.4205689625842395e-08
22.7,23.5,2.4516676676676674,-1.1120000000000005,1.3396676676676669,1.2994694945181442e-08
