x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
18,19,3.541333333333333,-1.8960000000000006,1.6453333333333326,1.64340070932986e-08
19,19.7,1.9020940940940936,-1.1280000000000006,0.774094094094093,6.031290681852132e-09
19.7,20.4,1.8861101101101099,-0.9840000000000007,0.9021101101101092,6.018716216720132e-09
21.2,22,3.454622622622622,-1.5440000000000005,1.9106226226226215,1.9148626408869767e-08
22,22.7,3.4934774774774766,-1.6880000000000006,1.805477477477476,2.3343820025277878e-08
22.7,23.5,2.3951951951951953,-1.0800000000000007,1.3151951951951946,1.2702893725605193e-08
