x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density
18,19,3.496984985,-1.88,1.616984985,1.62E-08
19,19.7,1.813045045,-1.112,0.701045045,5.68E-09
19.7,20.4,1.854142142,-0.968,0.886142142,5.91E-09
21.2,22,3.346546547,-1.448,1.898546547,1.84E-08
22,22.7,3.378418418,-1.624,1.754418418,2.26E-08
22.7,23.5,2.363259259,-1.064,1.299259259,1.26E-08
