x_min,x_max,ek_total,ek_var,ek_mean,ne_total,ne_mean,ne_var,ed_total,ed_mean,ed_var
18,19,5.044052272468355e-08,1.6705860843654362e-27,8.677939393493945e-15,748634.1484069029,0.12879727284419834,0.17312576781441474,1.893807908424694e-08,3.258164143526355e-15,8.769406825692896e-28
19,19.7,3.232123764654624e-08,3.334300564185458e-27,7.835451550677876e-15,366634.2262178678,0.08888102453766493,0.12030697071781671,1.2047210893621314e-08,2.9205359742112277e-15,1.8085930841898826e-27
19.7,20.4,3.1710808166645775e-08,2.9939629116064267e-27,7.687468646459582e-15,333737.10211427737,0.08090596414891572,0.10940073777302027,1.1724648342005784e-08,2.842338992001402e-15,1.803992651315027e-27
20.4,21.2,5.0372335940517876e-08,5.429045799353969e-27,1.0746098333977147e-14,468086.2138225176,0.09985839228213708,0.13699760356599106,2.0680550124874078e-08,4.41185069330647e-15,3.846059250368774e-27
21.2,22,5.110799178137131e-08,1.7547051356858125e-27,1.0903038246692546e-14,697659.0249886195,0.1488339253309055,0.2100461943535984,2.2269961012252147e-08,4.750925015947125e-15,1.2541040613940422e-27
22,22.7,5.1534030231275914e-08,1.6468970451564666e-27,1.2685299749237148e-14,855297.2562847188,0.2105347092393154,0.33167741126351563,2.7149722690030354e-08,6.683008662161318e-15,1.5015860848617622e-27
22.7,23.5,3.185151045895996e-08,9.15804845621226e-28,6.794988897911458e-15,407425.1959757708,0.08691737514149778,0.14491263315927436,1.609509024392003e-08,3.433619252036273e-15,8.10339593854184e-28
