x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density,ek_total_full,energy_variance_full,energy_mean_full,ek_total_1e,energy_variance_1e,energy_mean_1e,ne_total_full,ne_mean_full,ne_var_full,ne_total_1e,ne_mean_1e,ne_var_1e,ed_total_full,ed_mean_full,ed_var_full,ed_total_1e,ed_mean_1e,ed_var_1e
16.5,17.2,3.0369569569569563,-1.6240000000000006,1.4129569569569558,360031.852342922,2.827064096969551e-08,1.8285662016831694e-28,2.254437078923087e-15,8.749206223274195e-09,1.4290266562288236e-28,3.672125502927136e-15,708812.8121644465,0.056524147700514074,0.07845274319661323,360031.85234292236,0.15110881068703197,0.2091005960483762,9.69304995064831e-09,7.729704904823214e-16,8.381656753335401e-29,3.6202012124938554e-09,1.5194330615688138e-15,9.076295583734592e-29
17.2,17.9,2.5338138138138135,-1.2880000000000007,1.2458138138138128,222814.6477625657,3.453354504208267e-08,3.6269473725057036e-28,3.3414170335832286e-15,9.939967162391886e-09,5.703534858825765e-28,6.0489130860767345e-15,608417.3592818051,0.05886960418788632,0.08045003577431699,222814.64776256573,0.13559264498578485,0.18917221414712254,1.1992036598699737e-08,1.1603325204353883e-15,1.7947237617022363e-28,4.190545216550066e-09,2.550133555178298e-15,3.8910900498102067e-28
17.9,18.7,4.27083083083083,-1.9760000000000006,2.294830830830829,525578.0902004151,9.400383985271263e-08,7.858317830469653e-28,4.694324087526224e-15,3.469248080770875e-08,1.3257934631557748e-27,6.4886084917652094e-15,1252539.4020280605,0.06254878412125146,0.08410010028650504,525578.090200415,0.09829998834797608,0.13419964816536484,3.241451759795682e-08,1.6187025017706277e-15,4.05421475015496e-28,1.3498888496065244e-08,2.5247258335442576e-15,8.144448073523462e-28
18.7,19.5,4.69929129129129,-2.3440000000000003,2.35529129129129,519850.85116471397,1.293030335376274e-07,1.3602056167128495e-27,5.8640831536338955e-15,5.524641274499629e-08,2.7853769804259535e-27,8.522130091627917e-15,1303021.4959017416,0.05909394539236923,0.07935969916246244,519850.8511647138,0.08019048408297681,0.11009895719288562,4.4967386555059094e-08,2.0393372587328387e-15,7.275858453392677e-28,2.130015677795242e-08,3.28569219275185e-15,1.6704251454621452e-27
19.5,20.4,3.193593593593593,-1.8320000000000005,1.3615935935935923,321571.310931181,1.1930702660129806e-07,2.322690380183556e-27,7.018060388311651e-15,4.474348325315058e-08,6.87622152278603e-27,1.3159848015632523e-14,1024693.2999434005,0.060276076467258854,0.08244600768009132,321571.3109311809,0.09457979733270026,0.13675972388416227,4.386369980332246e-08,2.5802176354895564e-15,1.3907109213941212e-27,1.9590235188629285e-08,5.761833879008613e-15,4.821743020405416e-27
20.4,21.2,3.021741741741742,-1.8800000000000008,1.141741741741741,183186.28040192687,1.005055085533966e-07,3.0798982068500475e-27,7.090335700415986e-15,3.5195311270781936e-08,9.63141352263748e-27,1.313711309716299e-14,662678.4501412056,0.046749802479097394,0.06252730576704517,183186.280401927,0.06837668986569133,0.09376522334336186,3.36992148123242e-08,2.377369651663083e-15,1.4843499318986175e-27,1.2934748071746126e-08,4.828064937243685e-15,4.939878748384907e-27
21.2,22,4.881297297297296,-2.5680000000000005,2.3132972972972956,506896.61937516386,1.716758946709328e-07,3.004491828708635e-27,7.480431140345657e-15,9.08450846549157e-08,6.859747347327712e-27,1.2935919896181769e-14,1090903.991746735,0.04753394299550044,0.06431778969753475,506896.61937516363,0.07217973420125644,0.09974672862260403,6.024715252134746e-08,2.6251482580107827e-15,1.6135634036883308e-27,3.478596502109056e-08,4.953360533853156e-15,4.017464165113876e-27
22,22.8,4.195363363363362,-2.3760000000000003,1.8193633633633617,306682.2456584743,1.0301643448611353e-07,1.10962897181418e-27,5.2226329270526505e-15,3.011764054973102e-08,1.1703848678648913e-27,5.8056143744029886e-15,892591.4300853637,0.04525178352777509,0.06031312419468451,306682.24565847404,0.059117474718149085,0.07960368647362873,3.3400289816642905e-08,1.6932973291073716e-15,4.987949988189494e-28,1.0131992393502885e-08,1.953089272844364e-15,5.443626983181133e-28
22.8,23.5,3.601521521521521,-1.5440000000000005,2.0575215215215206,188427.697352106,5.37081446819689e-08,6.066113856834612e-28,3.656102428997202e-15,1.5605330336545026e-08,7.206931680181369e-28,4.700485652314508e-15,553930.0496201544,0.037707967979588454,0.05053695254605578,188427.69735210604,0.05675635624502432,0.07631826157081471,1.7318473690083706e-08,1.1789294547368077e-15,2.6689286056336777e-28,5.147903926526832e-09,1.5506014947640114e-15,3.2835921518270705e-28
23.5,24.3,3.860372372372373,-1.256000000000001,2.6043723723723717,199085.36342347888,3.96589719351993e-08,2.1503379206784775e-28,2.185067324253405e-15,1.1687025655484095e-08,1.9058933388506556e-28,2.6607985919641406e-15,515786.5691099289,0.028417992788425835,0.038318408702049105,199085.3634234788,0.045325993994827035,0.061655501691570136,1.2725326978968115e-08,7.011199437447998e-16,9.479770321363593e-29,3.8918013395775e-09,8.860508935130797e-16,8.955091438206966e-29
