x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density,ek_total_full,energy_variance_full,energy_mean_full,ek_total_1e,energy_variance_1e,energy_mean_1e,ne_total_full,ne_mean_full,ne_var_full,ne_total_1e,ne_mean_1e,ne_var_1e,ed_total_full,ed_mean_full,ed_var_full,ed_total_1e,ed_mean_1e,ed_var_1e
18,19,5.029909909909908,-2.4240000000000004,2.605909909909908,1014018.495467098,1.2234756098476945e-07,6.003607220334113e-28,4.176397371045211e-15,6.592173347601066e-08,1.2529201527767038e-27,7.143722285997194e-15,1950228.90117216,0.06657207377273118,0.09019606330584015,1014018.4954670973,0.10988586225691012,0.14787478247545438,4.229702107118043e-08,1.4438307243959867e-15,2.9154258398241225e-28,2.422314830251928e-08,2.624983222394989e-15,6.478484404198647e-28
19,19.7,3.916076076076076,-2.0240000000000005,1.8920760760760755,357276.50479251996,5.898634563310694e-08,1.0328692377796474e-27,3.647887794255222e-15,3.175803631391283e-08,3.4398542791192084e-27,8.016365987382234e-15,794139.708730977,0.04911191767043766,0.06627386954698403,357276.5047925203,0.09018376302614323,0.12208786168739152,2.040562127150983e-08,1.2619431831484125e-15,5.3672509690930936e-28,1.1861215484841826e-08,2.994008931844516e-15,1.8692212116365585e-27
19.7,20.4,4.391191191191191,-2.1040000000000005,2.2871911911911904,372003.06482883065,5.657493694969153e-08,8.461396642553915e-28,3.117076415960966e-15,3.388144291306315e-08,2.5324869787025765e-27,6.788167876396324e-15,696082.3290905375,0.03835164347606267,0.05174649554571922,372003.064828831,0.07453104228977331,0.10071227285062348,1.937987918528549e-08,1.0677619385832226e-15,4.776019250879803e-28,1.2421960373367239e-08,2.4887473825929855e-15,1.5161454884980721e-27
20.4,21.2,4.123867867867868,-2.2000000000000006,1.9238678678678673,484257.64758201095,7.527080218154347e-08,1.4888078737722937e-27,3.88996393703067e-15,5.133419833723452e-08,5.126266501549998e-27,1.0282674986926771e-14,810676.7794278789,0.0418954407973064,0.05784032967903264,484257.6475820112,0.09700091091921784,0.13309234890667354,2.8505668516449104e-08,1.4731611636407807e-15,1.0023355797690944e-27,2.100286533669579e-08,4.2070519273072115e-15,3.6246541326074e-27
21.2,22,5.098890890890891,-2.5200000000000005,2.5788908908908903,908412.3097610375,8.184831174057685e-08,5.049910320329774e-28,3.4210370633469946e-15,6.392113808263706e-08,1.286873975578529e-27,8.375328869624193e-15,1150590.4247004343,0.04809155380148106,0.06976296996111696,908412.3097610367,0.11902560047707035,0.1679908508472871,3.278536818496711e-08,1.3703393180759503e-15,3.1963375598945987e-28,2.6883071083941e-08,3.5223803597240594e-15,8.777618985635129e-28
22,22.7,5.146842842842842,-2.5840000000000005,2.5628428428428416,1193845.4537117477,7.478402207073003e-08,4.692173011408629e-28,3.5730540884247505e-15,6.702893830909435e-08,1.2678177437048397e-27,9.945743176618654e-15,1307951.1251965968,0.06249169255597692,0.105449377752338,1193845.4537117467,0.17714259802888463,0.2841764084644453,3.717577385897138e-08,1.7761955976574954e-15,3.7773564373346403e-28,3.4419633619321777e-08,5.107179747238173e-15,1.089491551190769e-27
22.7,23.5,2.4675875875875883,-1.1440000000000008,1.3235875875875875,283179.6589147831,2.8658230631036354e-08,3.519099233431522e-28,2.4652241403042024e-15,2.4501447131593076e-08,1.9130889257519108e-27,1.3597750749409962e-14,363424.57828987576,0.03126232931525813,0.05434244173930691,283179.65891478304,0.15715832614070513,0.26521026032983663,1.4748818932628184e-08,1.2687156071078009e-15,3.1117924553863727e-28,1.3068668414137989e-08,7.252816324183413e-15,1.820940012195235e-27
