x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density,ek_total_full,energy_variance_full,energy_mean_full,ek_total_1e,energy_variance_1e,energy_mean_1e,ne_total_full,ne_mean_full,ne_var_full,ne_total_1e,ne_mean_1e,ne_var_1e,ed_total_full,ed_mean_full,ed_var_full,ed_total_1e,ed_mean_1e,ed_var_1e
18,18.8,7.61672072072072,-3.688,3.92872072072072,2930287.790553312,1.2444161907220804e-07,2.971452014975937e-28,3.478451965680169e-15,1.0490158057220224e-07,5.496272319457522e-28,6.147294371103009e-15,3413551.096558934,0.09541722142722388,0.1400304225286992,2930287.7905533183,0.17171658941956516,0.24471032157148565,5.266830777667715e-08,1.4722098609832886e-15,2.187513464213786e-28,4.6536595436135427e-08,2.727071885994631e-15,4.300651841593707e-28
18.8,19.6,7.62436036036036,-3.8640000000000008,3.760360360360359,2705184.7900775853,1.2880128952045818e-07,3.417072290672634e-28,3.600315570103653e-15,1.154446518054215e-07,6.562332373414684e-28,6.76512455147382e-15,3039334.4325204086,0.08495693731713232,0.12922625730934081,2705184.790077586,0.15852542108640136,0.23452798506194003,5.613433288270387e-08,1.5690938611517504e-15,2.37331124098417e-28,5.200177922694332e-08,3.0473348731776793e-15,4.762856086717655e-28
19.6,20.5,6.105881881881882,-3.1600000000000006,2.9458818818818817,3692079.8668235876,1.7041870477910294e-07,6.811603699593218e-28,5.310979331186205e-15,1.5430762357054238e-07,1.6313921113934403e-27,1.2588714116231278e-14,4169820.1518653785,0.12994951856972634,0.25025543262165073,3692079.866823589,0.30120701014157963,0.5510705040133422,1.289337965361448e-07,4.018131280732511e-15,1.4077804111896338e-27,1.2320343474210595e-07,1.0051174285611979e-14,3.5944743324763905e-27
20.5,21.3,5.806510510510511,-2.904000000000001,2.90251051051051,2677306.7516129427,1.2677696005162564e-07,8.000631954898941e-28,4.656637651115726e-15,1.1760076207158898e-07,2.0665098515968495e-27,1.189968931201208e-14,2924686.8336980725,0.1074265136344563,0.21713581424857,2677306.751612949,0.2709091163690953,0.5212896921065887,8.986864297826225e-08,3.3009602563181726e-15,1.1170175481016112e-27,8.679940579940834e-08,8.78298697462057e-15,3.0053622021903283e-27
21.3,22,5.322666666666667,-2.7120000000000006,2.610666666666666,1189584.3443111803,9.603691029896178e-08,1.1936194307441074e-27,4.369683788286549e-15,9.005781214039807e-08,3.414508534399588e-27,1.2305208858926914e-14,1327303.8764330032,0.060392386770088416,0.10041810076493494,1189584.3443111782,0.16254096634324444,0.2596382137516926,5.2242074487632304e-08,2.377016766204036e-15,1.2054841501014191e-27,5.022342299936194e-08,6.862366461378378e-15,3.555844313549066e-27
22,23,4.155835835835836,-2.0240000000000005,2.1318358358358354,576185.451823688,3.8700002290351376e-08,2.964850011745912e-28,1.6004963726365334e-15,3.4362547544138603e-08,1.0874117651850383e-27,5.465824830460426e-15,736088.2706499858,0.03044202938999114,0.04812288763937724,576185.4518236875,0.09165003687467194,0.14507001682372012,2.0022563170913302e-08,8.280629930071672e-16,3.165290768919917e-28,1.860196460793472e-08,2.9588923789423424e-15,1.1965182730594224e-27
23,23.8,3.100892892892893,-1.5440000000000005,1.5568928928928925,431289.41066504584,4.848477902089212e-09,8.288225467023904e-30,3.33228721793073e-16,3.8445246850646234e-09,3.7600555436645555e-29,1.362002580885189e-15,503760.3873456666,0.03462270703406643,0.09803314525515874,431289.41066504584,0.15279321595105602,0.4533077471016173,4.489286293867965e-09,3.085420133242588e-16,2.3899843716977393e-29,4.171849141292903e-09,1.477964056149397e-15,1.1988667668128064e-28
23.8,24.6,3.298738738738739,-1.6880000000000006,1.6107387387387382,231515.34007262107,3.878495449505311e-09,3.6363972783013955e-30,2.4982257323705707e-16,3.379328881562198e-09,1.557910098870175e-29,1.0515465569985136e-15,270205.09218657477,0.017404514794626395,0.027986840575218996,231515.34007262104,0.07204068241891948,0.115103957848844,1.8301080501098744e-09,1.17881355884694e-16,3.1624410026299125e-30,1.6733978369715341e-09,5.207115955943068e-16,1.4580431814006176e-29
