x_min,x_max,ek_total,ek_var,ek_mean,ne_total,ne_mean,ne_var,ed_total,ed_mean,ed_var
16.5,17.2,1.1772843378953917e-08,1.1487807125385804e-28,2.8540226373221617e-15,466635.3095826922,0.113123711413986,0.15694689419040925,4.602187246958821e-09,1.115681756838502e-15,6.617536519834165e-29
17.2,17.9,1.7293518652912634e-08,4.264471680167998e-28,4.256866129947725e-15,392431.00782592536,0.09659840192638162,0.1328726528735287,6.656248432848151e-09,1.6384611527010834e-15,2.4872102121512526e-28
17.9,18.7,3.193751143665402e-08,1.429361192675494e-27,6.813335773152857e-15,476307.72237521474,0.10161231410671248,0.13901846040509536,1.2567161584091483e-08,2.6809944712728497e-15,8.879570477520814e-28
18.7,19.5,4.5405053600167705e-08,3.3971208820585645e-27,9.686411434702444e-15,402484.2115176463,0.08586329845709788,0.11881303086581582,1.7998508951423703e-08,3.839681909637057e-15,2.0978941124989745e-27
19.5,20.4,6.086119664463833e-08,5.533073442480497e-27,1.145622525075545e-14,455561.4415521593,0.08575274193922999,0.12181879056887933,2.5304867355545684e-08,4.763269149279188e-15,3.650118345677185e-27
20.4,21.2,5.134751881423085e-08,7.164177571339179e-27,1.0954137347035915e-14,285392.3436185036,0.06088369997194743,0.08283597355172156,1.8322796092072947e-08,3.908863166308896e-15,3.586561241123802e-27
21.2,22,6.905190791066529e-08,8.625104724966691e-27,1.4731073687608595e-14,374281.11302844575,0.07984663744606843,0.11134753624190767,2.747873223441678e-08,5.8621295433422464e-15,5.243735113429476e-27
22,22.8,2.691225382085024e-08,1.1181231306780746e-27,5.741280815114718e-15,283678.39541084494,0.06051805768764692,0.08148731741941292,9.0814886966413e-09,1.937384255283477e-15,5.240743367195653e-28
22.8,23.5,1.9000383966105753e-08,7.242975523667144e-28,4.6770175916568004e-15,224695.21243636633,0.055309590753567096,0.07430293668876085,6.254138817360225e-09,1.5394803242732862e-15,3.299392987651785e-28
23.5,24.3,1.1849585901705597e-08,1.8735158336258847e-28,2.5279116590305276e-15,207209.1816539348,0.04420462541950609,0.060034108625302056,3.929376919831382e-09,8.382670762306949e-16,8.723191585365911e-29
