x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density,ek_total_full,energy_variance_full,energy_mean_full,ek_total_1e,energy_variance_1e,energy_mean_1e,ne_total_full,ne_mean_full,ne_var_full,ne_total_1e,ne_mean_1e,ne_var_1e,ed_total_full,ed_mean_full,ed_var_full,ed_total_1e,ed_mean_1e,ed_var_1e
18.0,18.8,7.880104104104104,-4.024000000000001,3.8561041041041033,2003767.478305208,1.295436617602632e-07,4.721013734343288e-28,3.503547309270134e-15,9.658895697950006e-08,7.515628947444235e-28,5.298737125956772e-15,2511268.759088113,0.06791801917750137,0.09405832122750604,2003767.4783052083,0.10992392361513979,0.1505721106599263,4.5969868479030733e-08,1.2432689243821698e-15,2.424152647234245e-28,3.5814724642331896e-08,1.9647464581123912e-15,4.079347605480303e-28
18.8,19.6,7.6007527527527525,-3.8160000000000007,3.784752752752752,1965275.5327122489,1.3381174121178494e-07,4.941143278719421e-28,3.748228045148038e-15,1.0267414222787853e-07,8.207778975343967e-28,6.042072254070953e-15,2422071.73173656,0.06784514654724258,0.09593598997279011,1965275.5327122523,0.11565070338207356,0.16169218248951114,4.9259746108515804e-08,1.3798248209668292e-15,2.5931365307077153e-28,3.966227824262203e-08,2.3340087942601763e-15,4.567461301647009e-28
19.6,20.4,7.297361361361361,-3.6080000000000005,3.6893613613613603,1727643.3937453495,1.3661084113537477e-07,5.965080996385828e-28,3.985728406575486e-15,1.0720114251531869e-07,1.0753944750764856e-27,6.843933017974306e-15,2127493.3135389364,0.06207128558829866,0.08755083000560855,1727643.3937453516,0.11029617211448473,0.15326955601824932,5.127530970452835e-08,1.495997365558814e-15,3.371250643208589e-28,4.204376126033073e-08,2.684156895513392e-15,6.431316564804047e-28
20.4,21.2,5.0038838838838835,-2.5680000000000005,2.435883883883883,1222810.3702398862,1.0470830513403339e-07,6.061164391877432e-28,4.460417684090879e-15,8.529620292210113e-08,1.6264787790685197e-27,1.1608597675060632e-14,1575361.9695801518,0.06710807112162522,0.10118381688634033,1222810.370239886,0.16642140136027872,0.24379746546680117,4.74496317971032e-08,2.021283569631659e-15,4.535900286832892e-28,4.112449107919229e-08,5.596939314707345e-15,1.3240946830576809e-27
21.2,22.0,4.843147147147146,-2.6320000000000006,2.2111471471471456,556833.1627725778,4.0481169260209965e-08,2.0901978969433747e-28,1.7813495824074794e-15,3.411244987264133e-08,6.307414762380199e-28,4.954118495665469e-15,737586.0000976596,0.03245702970726775,0.046007496284470525,556833.1627725774,0.08086834809551385,0.11217859732498076,1.515137288700526e-08,6.66727079736205e-16,1.2362743585473486e-28,1.3076593582520284e-08,1.899101189428819e-15,3.864303344652387e-28
22.0,23.0,4.391191191191191,-2.1040000000000005,2.2871911911911904,1155477.4327323795,5.1283716471737755e-08,1.7725577136116925e-28,2.0052284055420432e-15,4.289907817230399e-08,5.172239177586677e-28,6.099575675436451e-15,1342064.0529781864,0.052475622794846,0.09766288316384368,1155477.4327323795,0.16429075734220272,0.3008484928216706,3.144891467295427e-08,1.2296740830089646e-15,2.254566836356251e-28,2.8590492124895075e-08,4.065119292618157e-15,7.5925996516980235e-28
23.0,23.8,1.7547147147147144,-0.8720000000000008,0.8827147147147136,457892.8955266429,1.5791418641305866e-08,2.8422238791064335e-28,1.914111350461317e-15,1.1524068227319489e-08,1.7906325632768832e-27,1.2698697771150953e-14,586483.0411389368,0.07108885347138627,0.24049909925361934,457892.8955266429,0.5045651741340418,1.7363575106831244,2.1501549794985633e-08,2.6062484599982586e-15,1.0629006562739294e-27,1.916647390564056e-08,2.112008143872238e-14,8.76153341962219e-27
23.8,24.8,2.989933933933934,-1.4960000000000007,1.4939339339339333,157030.5220145832,2.5599523427385408e-09,2.351933746318726e-30,1.4563388000560592e-16,2.3600800892239786e-09,1.1567970927939265e-29,7.179855012080544e-16,172369.95553555797,0.009806004979836042,0.01587038228300008,157030.5220145832,0.04777195425205887,0.07689798136277448,1.2113992272452756e-09,6.89156461056591e-17,1.9483857195250356e-30,1.1511078470028268e-09,3.5019097370827133e-16,1.0077930054332558e-29
24.8,25.4,1.494966966966967,-1.5600000000000007,-0.06503303303303376,11365.480031625633,3.0510575787364825e-10,4.142650374124128e-31,5.796082026475081e-17,1.4229918441595205e-10,2.0561624091832438e-30,2.8757999825379947e-16,24697.09632035854,0.004691697629247443,0.0066981916932367155,11365.480031625635,0.022969103730731494,0.03244850122452194,1.0871747641540058e-10,2.0653016036360292e-17,2.1892224298985317e-31,5.1300838306027655e-11,1.0367659555476713e-16,1.1300055345283639e-30
